% Served, % Stalled, Avg Station Utilization, Avg Queue Length, Max Queue Length, Avg Consumables Level, Avg Queue Delay, Avg Service Delay, # refill events, food left
100,0,49.4132,0.334514,3,110.989,0.187872,0.46539,0,24
100,0,31.8898,0.199585,5,116.343,0.146285,0.380019,0,28.4
100,0,27.8796,0.142641,3,137.884,0.137856,0.407301,0,76.8
100,0,56.6384,0.509798,3,142.293,0.358073,0.755891,0,83.4
100,0,14.2144,0.0844467,2,157.524,0.0878772,0.235796,0,118.6
100,0,39.292,0.13989,4,130.039,0.0799534,0.304525,0,54.8
100,0,30.3144,0.0331459,1,140.143,0.0301781,0.30618,0,94.4
80.4348,2.17391,41.226,0.331955,9,87.5845,0.167953,0.455804,0,0
100,0,35.4631,0.0955364,2,129.905,0.0698321,0.329048,0,63.6
100,0,15.9379,0.0504189,3,134.263,0.0555944,0.231334,0,92.2
