% Served, % Stalled, Avg Station Utilization, Avg Queue Length, Max Queue Length, Avg Consumables Level, Avg Queue Delay, Avg Service Delay, # refill events, food left
100,0,22.3139,0.0378852,2,182.319,0.063642,0.438485,0,151.6
100,0,37.568,0.133058,2,120.026,0.0925553,0.35388,0,43.8
100,0,29.4473,0.0991643,1,136.144,0.0755833,0.300032,0,85.6
100,0,38.0354,0.1934,3,111.311,0.134156,0.397996,0,19.6
100,0,35.5526,0.204385,4,93.102,0.126855,0.347519,0,10.8
100,0,24.6987,0.0720951,3,131.492,0.0536044,0.237246,0,68
100,0,27.4966,0.146475,2,111.315,0.118056,0.339674,0,24
