% Served, % Stalled, Avg Station Utilization, Avg Queue Length, Max Queue Length, Avg Consumables Level, Avg Queue Delay, Avg Service Delay, # refill events, food left
100,0,30.0921,0.285165,3,161.596,0.399198,0.820454,0,127.43
100,0,35.854,1.10789,9,71.2118,0.796342,1.05406,0,15.5
100,0,21.3133,0.143481,4,108.453,0.138141,0.343342,0,77
78.0488,17.0732,30.1196,0.565197,8,117.685,0.482536,0.553657,1,200
100,0,36.3848,0.733208,8,58.5687,0.495233,0.740988,0,0
100,0,22.285,0.413847,7,113.783,0.380969,0.586114,0,75.77
100,0,29.67,1.4158,11,58.5072,1.14111,1.38024,0,19.19
