% Served, % Stalled, Avg Station Utilization, Avg Queue Length, Max Queue Length, Avg Consumables Level, Avg Queue Delay, Avg Service Delay, # refill events, food left
100,0,38.0433,0.250195,4,145.072,0.191043,0.481532,0,65.6
62.7451,0,35.9413,0.256586,2,68.8636,0.108489,0.4151,0,0
83.3333,0,40.5501,0.301164,3,85.2057,0.131171,0.366131,0,0
92.1053,0,35.6436,0.0885335,3,83.9385,0.0630291,0.337441,0,0
64.8148,0,29.9548,0.597838,6,52.9784,0.254244,0.588806,0,0
100,0,53.3895,0.875318,5,109.431,0.604332,0.972941,0,18.56
82.9268,0,28.7734,0.0986036,3,88.2404,0.0620275,0.293064,0,0
