% Served, % Stalled, Avg Station Utilization, Avg Queue Length, Max Queue Length, Avg Consumables Level, Avg Queue Delay, Avg Service Delay, # refill events, food left
100,0,31.1939,0.159184,2,113.649,0.11142,0.329759,0,41.49
79.0698,11.6279,33.5016,1.38181,9,87.3807,0.722104,0.679791,1,200
91.6667,0,39.4204,1.06829,8,74.6609,0.542834,0.749912,0,0
87.1795,0,34.392,1.2705,9,48.6748,0.881308,1.17761,0,0
75,25,30.9101,0.921853,10,95.5338,0.723995,0.579323,1,200
97.0588,2.94118,39.1929,1.219,8,96.674,0.722506,0.912909,1,200
91.6667,5.55556,23.8185,0.522891,7,42.301,0.450038,0.519409,0,1.56
