% Served, % Stalled, Avg Station Utilization, Avg Queue Length, Max Queue Length, Avg Consumables Level, Avg Queue Delay, Avg Service Delay, # refill events, food left
100,0,45.7133,1.16408,6,142.742,0.977745,1.36171,0,78.56
100,0,27.3099,0.389509,4,111.702,0.419962,0.714414,0,78.56
100,0,45.8738,0.620862,5,86.744,0.420643,0.731444,0,36.32
100,0,36.7997,1.03884,8,57.0741,0.851632,1.15331,0,0.68
100,0,24.2979,0.229847,4,80.175,0.188514,0.387798,0,35
100,0,19.4553,0.0718642,2,143.24,0.0868282,0.321892,0,110.24
100,0,33.2761,1.47836,11,114.008,1.15542,1.4155,1,200
