% Served, % Stalled, Avg Station Utilization, Avg Queue Length, Max Queue Length, Avg Consumables Level, Avg Queue Delay, Avg Service Delay, # refill events, food left
100,0,36.9987,1.04778,8,95.7773,0.714562,0.966883,0,31.81
97.0588,2.94118,39.1018,0.870481,8,60.5916,0.600482,0.850704,0,3.98
100,0,28.3007,0.306682,4,73.0925,0.255513,0.491302,0,19.71
100,0,20.6072,0.0360454,1,145.411,0.0428452,0.287792,0,122.56
100,0,21.9099,0.197249,3,134.826,0.217336,0.458748,0,105.62
100,0,22.3795,0.171072,4,148.005,0.209519,0.483609,0,121.35
100,0,23.186,0.216458,3,93.0834,0.173428,0.359195,0,53.59
100,0,31.7958,0.733389,7,74.5346,0.517233,0.741478,0,8.82
100,0,25.5266,0.242802,3,86.7422,0.184574,0.378624,0,40.28
100,0,28.221,0.496904,5,61.8935,0.365274,0.572727,0,19.71
