% Served, % Stalled, Avg Station Utilization, Avg Queue Length, Max Queue Length, Avg Consumables Level, Avg Queue Delay, Avg Service Delay, # refill events, food left
100,0,41.3376,0.141593,2,150.089,0.0991069,0.388447,0,90
100,0,33.3613,0.0519676,2,127.86,0.033958,0.251955,0,38
100,0,35.2013,0.164131,2,136.744,0.13054,0.410511,0,82
100,0,33.1149,0.180372,2,116.078,0.157407,0.446395,0,46
100,0,28.5268,0.187758,3,96.2904,0.116536,0.293592,0,18
100,0,34.2551,0.176781,2,146.853,0.162736,0.478073,0,94
100,0,33.216,0.200079,3,118.07,0.156374,0.415976,0,40
