% Served, % Stalled, Avg Station Utilization, Avg Queue Length, Max Queue Length, Avg Consumables Level, Avg Queue Delay, Avg Service Delay, # refill events, food left
100,0,31.5905,0.109037,1,155.589,0.0832579,0.324475,0,103.4
100,0,34.8785,0.337278,4,134.928,0.250791,0.510139,0,65.6
100,0,54.1276,0.333282,2,116.314,0.174191,0.457091,0,38.3
100,0,44.6646,0.401045,4,86.2974,0.252314,0.533318,0,0.5
100,0,29.2471,0.0986609,2,123.62,0.0708038,0.280695,0,53
100,0,39.8587,0.332957,3,138.503,0.268192,0.589247,0,92.9
100,0,35.9025,0.136926,3,113.919,0.0980976,0.355313,0,36.2
