% Served, % Stalled, Avg Station Utilization, Avg Queue Length, Max Queue Length, Avg Consumables Level, Avg Queue Delay, Avg Service Delay, # refill events, food left
100,0,63.3619,2.53561,9,189.459,0.851897,1.06478,0,177
100,0,96.2378,16.325,40,178.596,4.14149,4.38564,0,157
100,0,84.0892,9.07691,22,180.185,2.1564,2.35617,0,162
100,0,93.8577,19.4101,50,173.314,5.04909,5.29324,0,147
100,0,96.0314,12.8825,32,169.316,3.21569,3.4554,0,147
100,0,71.904,6.94312,25,183.623,2.09721,2.31441,0,170
100,0,97.6212,25.7885,52,182.058,7.07578,7.34363,0,162
