% Served, % Stalled, Avg Station Utilization, Avg Queue Length, Max Queue Length, Avg Consumables Level, Avg Queue Delay, Avg Service Delay, # refill events, food left
100,0,36.9433,0.625592,4,96.4504,0.426639,0.678583,0,36.32
90.625,12.5,44.3666,1.42207,9,48.9992,1.04229,1.50573,0,0.68
100,0,28.6188,0.494523,6,74.3953,0.373387,0.589472,0,11.24
100,0,23.4241,0.444518,4,124.915,0.381604,0.582693,0,97.04
100,0,39.3565,0.942293,8,126.753,0.767405,1.08792,0,73.28
100,0,36.8474,0.4759,5,90.0398,0.30222,0.536219,0,36.32
100,0,27.1278,0.214317,3,104.034,0.195127,0.442116,0,71.96
97.1429,2.85714,39.7876,2.84219,16,76.4066,1.88995,2.14299,0,0.68
100,0,29.0003,0.365523,4,107.332,0.315756,0.566275,0,61.4
100,0,22.7535,0.606743,10,86.4051,0.514634,0.707627,0,44.24
