% Served, % Stalled, Avg Station Utilization, Avg Queue Length, Max Queue Length, Avg Consumables Level, Avg Queue Delay, Avg Service Delay, # refill events, food left
87.8049,2.43902,51.2953,1.07864,5,102.055,0.502367,0.837051,0,0
62.963,0,38.8468,0.56554,5,81.7282,0.245635,0.658102,0,0
75.5556,2.22222,36.2601,0.305454,5,87.0955,0.164005,0.450909,0,0
100,0,37.0504,0.0388208,1,112.712,0.023995,0.253002,0,32
100,0,31.8987,0.514708,5,113.851,0.385645,0.624645,0,52.16
94.4444,0,39.3194,0.28402,4,98.4523,0.135275,0.341522,0,0
100,0,49.931,0.658786,5,104.866,0.388106,0.682261,0,0.64
60.7143,3.57143,41.2259,1.81096,12,80.1354,0.752638,1.19633,0,0
78.0488,2.43902,43.8803,0.628222,5,88.4688,0.291198,0.529173,0,0
90,0,34.5067,0.361047,5,91.4894,0.199054,0.432553,0,0
