% Served, % Stalled, Avg Station Utilization, Avg Queue Length, Max Queue Length, Avg Consumables Level, Avg Queue Delay, Avg Service Delay, # refill events, food left
58.9041,0,48.1921,8.70016,35,69.3022,2.77483,2.86117,0,0
42.268,37.1134,29.7183,10.4575,55,98.1732,2.86324,2.34437,1,200
39.8148,1.85185,37.6962,12.9744,65,44.8908,3.50107,3.8199,0,2
47.4227,0,52.2323,21.2545,62,54.9857,5.62727,5.07258,0,0
84.3137,7.84314,59.3476,4.85402,19,60.0684,1.72819,2.10617,1,200
58.4416,0,72.4094,12.291,39,61.923,3.53721,3.14738,0,0
51.8072,0,39.7571,11.3522,51,68.1037,3.54327,3.58386,0,0
88,0,69.7844,6.11391,19,74.4309,2.1375,2.42408,0,0
67.1875,1.5625,63.2117,8.27166,24,66.8556,2.38193,2.40187,0,2
70.4918,0,52.7469,4.69148,21,63.5902,1.66131,2.19971,0,0
