% Served, % Stalled, Avg Station Utilization, Avg Queue Length, Max Queue Length, Avg Consumables Level, Avg Queue Delay, Avg Service Delay, # refill events, food left
100,0,38.1036,0.633084,6,78.4023,0.377779,0.605154,0,13.04
79.0698,11.6279,40.6508,2.46386,9,97.8455,1.34869,1.8234,1,200
92.5,2.5,45.013,1.19986,8,55.3851,0.724756,0.947923,0,3.2
100,0,46.6847,0.486623,4,85.2171,0.268554,0.526193,0,27.8
100,0,24.4473,0.116375,2,127.282,0.114729,0.355744,0,84.38
65.9574,6.38298,48.5484,4.52781,20,51.9056,1.69405,1.88926,1,200
100,0,36.1187,0.612037,5,80.9807,0.454045,0.721994,0,38.87
75,2.27273,32.8883,3.81954,22,71.9703,2.02034,2.24085,0,3.2
100,0,44.8796,0.594221,5,82.896,0.418257,0.734154,0,32.72
96.7742,3.22581,27.3424,0.556917,5,98.3792,0.396183,0.608271,1,200
