% Served, % Stalled, Avg Station Utilization, Avg Queue Length, Max Queue Length, Avg Consumables Level, Avg Queue Delay, Avg Service Delay, # refill events, food left
100,0,74.4343,1.50364,8,190.74,0.531713,0.794925,0,177.2
100,0,69.725,1.56821,8,183.284,0.548972,0.793053,0,163.6
100,0,60.9006,1.57636,7,183.962,0.614308,0.851639,0,166.4
100,0,55.6369,0.542934,5,189.942,0.239704,0.485339,0,181.2
100,0,45.6161,0.908173,5,190.189,0.447663,0.672518,0,181.2
100,0,69.9099,0.810778,4,186.374,0.243892,0.454191,0,170.8
100,0,50.261,0.829299,6,187.792,0.361108,0.579964,0,174.8
100,0,62.5148,1.09355,7,185.133,0.4105,0.645169,0,169.2
100,0,54.6988,0.440287,4,190.296,0.204085,0.457629,0,181.2
100,0,56.1643,0.500158,4,188.443,0.208113,0.441809,0,172.8
