% Served, % Stalled, Avg Station Utilization, Avg Queue Length, Max Queue Length, Avg Consumables Level, Avg Queue Delay, Avg Service Delay, # refill events, food left
100,0,43.0157,0.387296,4,129.208,0.166822,0.352105,0,22
86.2745,0,50.4484,0.483796,3,99.1367,0.204557,0.477096,0,0
93.8776,0,49.8328,0.689851,5,104.266,0.257538,0.451731,0,0
68.75,0,40.3079,0.653055,7,68.0982,0.27605,0.649358,0,0
69.697,0,38.7026,0.782027,7,64.4947,0.272107,0.582346,0,0
100,0,68.6761,2.78691,10,103.363,1.22444,1.52617,0,2.4
69.8413,0,38.096,0.849898,7,77.4851,0.347938,0.711364,0,0
