% Served, % Stalled, Avg Station Utilization, Avg Queue Length, Max Queue Length, Avg Consumables Level, Avg Queue Delay, Avg Service Delay, # refill events, food left
100,0,44.294,0.379429,3,140.482,0.24515,0.531334,0,58.55
100,0,30.9554,0.0835911,2,142.284,0.0667605,0.313987,0,50.35
100,0,35.0452,0.07293,2,117.085,0.04447,0.258162,0,44.2
72.2222,0,33.2606,0.512781,6,77.5693,0.256895,0.572158,0,0
100,0,35.1954,0.180342,3,90.7134,0.106193,0.313437,0,7.3
100,0,43.5426,0.70622,6,126.927,0.426637,0.689683,0,21.65
80.4348,0,32.9643,0.184222,3,85.6183,0.10329,0.358198,0,0
